RESUMEN
Drug ID : 1,Drug Name :Aspirin,Generic Name :Acetylsalicylic Acid,Drug Class :Analgesic,Indications :Headache,Dosage Form :Tablet,Strength :325 mg,Route of Administration :Oral,Mechanism of Action :Inhibits prostaglandin synthesis,Side Effects :Stomach irritation,Contraindications :Allergy to NSAIDs,Interactions :Anticoagulants: increased bleeding risk,Warnings and Precautions :Gastric ulcers: risk of bleeding,Pregnancy Category :Category C,Storage Conditions :Room temperature,Manufacturer :PharmaCorp,Approval Date :44576,Availability :OTC,NDC :12345678901,Price :5.99/n
Drug ID : 2,Drug Name :Amoxicillin,Generic Name :Amoxicillin,Drug Class :Antibiotic,Indications :Bacterial Infections,Dosage Form :Capsule,Strength :500 mg,Route of Administration :Oral,Mechanism of Action :Inhibits bacterial cell wall synthesis,Side Effects :Nausea,Contraindications : Allergic reactions,Interactions :Penicillin: reduced efficacy,Warnings and Precautions :Take with food to reduce stomach upset,Pregnancy Category :Category B,Storage Conditions :Room temperature,Manufacturer :MediPharm,Approval Date :44520,Availability :Prescription,NDC :23456789012,Price :12.49/n
Drug ID : 3,Drug Name :Lisinopril,Generic Name :Lisinopril,Drug Class :Antihypertensive,Indications :Hypertension,Dosage Form :Tablet,Strength :10 mg,Route of Administration :Oral,Mechanism of Action :Blocks conversion of angiotensin I to angiotensin II,Side Effects :Cough,Contraindications : Kidney problems,Interactions :Diuretics: increased risk of kidney problems,Warnings and Precautions :Monitor kidney function regularly,Pregnancy Category :Category D,Storage Conditions :Room temperature,Manufacturer :HealthMeds,Approval Date :44625,Availability :Prescription,NDC :34567890123,Price :8.75/n
Drug ID : 4,Drug Name :Albuterol,Generic Name :Albuterol,Drug Class :Bronchodilator,Indications :Asthma,Dosage Form :Inhaler,Strength :100 mcg/inhalation,Route of Administration :Inhalation,Mechanism of Action :Stimulates beta-2 adrenergic receptors,Side Effects :Tremor,Contraindications : Rapid heart rate,Interactions :Beta-blockers: decreased effectiveness,Warnings and Precautions :Use as needed for acute asthma symptoms,Pregnancy Category :Category C,Storage Conditions :Room temperature,Manufacturer :RespirePharma,Approval Date :44418,Availability :Prescription,NDC :45678901234,Price :22.99/n
Drug ID : 5,Drug Name :Omeprazole,Generic Name :Omeprazole,Drug Class :Proton Pump Inhibitor,Indications :Acid Reflux,Dosage Form :Capsule,Strength :20 mg,Route of Administration :Oral,Mechanism of Action :Reduces stomach acid production,Side Effects :Headache,Contraindications : Abdominal pain,Interactions :Clopidogrel: reduced effectiveness,Warnings and Precautions :Take before a meal,Pregnancy Category :Category C,Storage Conditions :Room temperature,Manufacturer :MediCare,Approval Date :44711,Availability :OTC,NDC :56789012345,Price :6.25/n
Drug ID : 6,Drug Name :Levothyroxine,Generic Name :Levothyroxine,Drug Class :Hormone,Indications :Thyroid Disorder,Dosage Form :Tablet,Strength :50 mcg,Route of Administration :Oral,Mechanism of Action :Replaces or supplements thyroid hormone,Side Effects :Dizziness,Contraindications : Heart palpitations,Interactions :Adrenal insufficiency: monitor carefully,Warnings and Precautions :Take on an empty stomach,Pregnancy Category :Category A,Storage Conditions :Room temperature,Manufacturer :EndoHealth,Approval Date :44610,Availability :Prescription,NDC :67890123456,Price :9.99/n
Drug ID : 7,Drug Name :Simvastatin,Generic Name :Simvastatin,Drug Class :Cholesterol-lowering,Indications :Hyperlipidemia,Dosage Form :Tablet,Strength :20 mg,Route of Administration :Oral,Mechanism of Action :Inhibits cholesterol synthesis,Side Effects :Muscle pain,Contraindications : Liver problems,Interactions :CYP3A4 inhibitors: increased risk of side effects,Warnings and Precautions :Avoid grapefruit juice,Pregnancy Category :Category X,Storage Conditions :Room temperature,Manufacturer :PharmaCare,Approval Date :44474,Availability :Prescription,NDC :78901234567,Price :7.85/n
Drug ID : 8,Drug Name :Metformin,Generic Name :Metformin,Drug Class :Oral Antidiabetic,Indications :Type 2 Diabetes,Dosage Form :Tablet,Strength :1000 mg,Route of Administration :Oral,Mechanism of Action :Decreases glucose production by the liver,Side Effects :Diarrhea,Contraindications : Lactic acidosis,Interactions :Kidney problems: avoid in severe impairment,Warnings and Precautions :Take with meals,Pregnancy Category :Category B,Storage Conditions :Room temperature,Manufacturer :DiabetesRx,Approval Date :44673,Availability :Prescription,NDC :89012345678,Price :4.5/n
Drug ID : 9,Drug Name :Ibuprofen,Generic Name :Ibuprofen,Drug Class :NSAID,Indications :Pain and Inflammation,Dosage Form :Tablet,Strength :200 mg,Route of Administration :Oral,Mechanism of Action :Inhibits prostaglandin synthesis,Side Effects :Upset stomach,Contraindications : GI bleeding,Interactions :Allergy to NSAIDs,Warnings and Precautions :Anticoagulants: increased bleeding risk,Pregnancy Category :Category C,Storage Conditions :Room temperature,Manufacturer :ReliefMeds,Approval Date :44447,Availability :OTC,NDC :90123456789,Price :3.15/n
Drug ID : 10,Drug Name :Ciprofloxacin,Generic Name :Ciprofloxacin,Drug Class :Fluoroquinolone,Indications :Bacterial Infections,Dosage Form :Tablet,Strength :500 mg,Route of Administration :Oral,Mechanism of Action :Inhibits bacterial DNA synthesis,Side Effects :Nausea,Contraindications : Tendon rupture,Interactions :Antacids: reduced effectiveness,Warnings and Precautions :Take 2 hours before or 6 hours after antacids,Pregnancy Category :Category C,Storage Conditions :Room temperature,Manufacturer :PharmaX,Approval Date :44560,Availability :Prescription,NDC :12345678902,Price :18.75/n
Drug ID : 11,Drug Name :Alprazolam,Generic Name :Alprazolam,Drug Class :Anxiolytic,Indications :Anxiety,Dosage Form :Tablet,Strength :0.5 mg,Route of Administration :Oral,Mechanism of Action :Enhances effects of GABA in the brain,Side Effects :Drowsiness,Contraindications : Addiction history,Interactions :Benzodiazepines: additive effects,Warnings and Precautions :Avoid alcohol,Pregnancy Category :Category D,Storage Conditions :Room temperature,Manufacturer :NeuroPharm,Approval Date :44724,Availability :Prescription,NDC :23456789023,Price :14.99/n
